A  a
EFFORTS  e f o^ r z
EFFRACTION  e f r a k s j o~
EFFRAYAIENT  e f r e^ j e^
EFFRAYAIT  e f r e^ j e^
EFFRAYANT  e f r e^ j a~
EFFRAYANT  e f r e^ j a~ t
EFFRAYANTE  e f r e^ j a~ t
EFFRAYANTE  e f r e^ j a~ t q
EFFRAYANTES  e f r e^ j a~ t
EFFRAYANTS  e f r e^ j a~
EFFRAYANTS  e f r e^ j a~ z
EFFRAYER  e f r e j e
EFFRAYERAIT  e f r e^ j x^ r e^
EFFRAYÈRENT  e f r e^ j e^ r
EFFRAYÉ  e f r e j e
EFFRAYÉE  e f r e j e
EFFRAYÉE  e f r e^ j e
EFFRAYÉS  e f r e j e
EFFROI  e f r w a
EFFRONTERIE  e f r o~ t r i
EFFRONTÉ  e f r o~ t e
EFFRONTÉE  e f r o~ t e
EFFRONTÉMENT  e f r o~ t e m a~
EFFRONTÉS  e f r o~ t e
EFFROYABLE  e f r w a j a b l
EFFROYABLE  e f r w a j a b l q
EFFROYABLES  e f r w a j a b l
EFFRÉNÉ  e f r e n e
EFFRÉNÉE  e f r e n e
EFFÉMINÉE  e f e m i n e
EGO  e g o
EH  e
ELLE  e^ l
ELLE  e^ l q
ELLE-MÊME  e^ l m e^ m q
ELLE-MÊME  e^ l m e^ m
ELLES  e^ l z
ELLES  e^ l
ELLES  e^ l q
EMBALLE  a~ b a l
EMBALLE-MOI  a~ b a l m w a
EMBALLONS-LE  a~ b a l o~ l x^
EMBALLÉ  a~ b a l e
EMBALUCHONNONS  a~ b a l y s^ o^ n o~
EMBARCATIONS  a~ b a r k a s j o~
EMBARRAS  a~ b a r a
EMBARRASSANT  a~ b a r a s a~
EMBARRASSANTE  a~ b a r a s a~ t
EMBARRASSÉ  a~ b a r a s e
EMBARRASSÉE  a~ b a r a s e
EMBARRASSÉES  a~ b a r a s e
EMBARRASSÉS  a~ b a r a s e
EMBAUCHEUSES  a~ b o s^ x z q
EMBAUMÉ  a~ b o m e
EMBELLIT  a~ b e l i
EMBELLIT  a~ b e l i t
EMBLÈME  a~ b l e^ m
EMBONPOINT  a~ b o~ p w e~
EMBOSSÉ  a~ b o^ s e
EMBOUCHÉS  a~ b u s^ e
EMBRASSA  a~ b r a s a
EMBRASSAIT  a~ b r a s e^
EMBRASSANT  a~ b r a s a~
EMBRASSE  a~ b r a s
EMBRASSER  a~ b r a s e
EMBRASSEZ  a~ b r a s e
EMBRASSÉE  a~ b r a s e
EMBRASSÉES  a~ b r a s e
EMBROUILLONS  a~ b r u j o~
EMBROUILLÉ  a~ b r u j e
EMBUSQUÉ  a~ b y s k e
EMBUSQUÉES  a~ b y s k e
EMBUSQUÉS  a~ b y s k e
EMBÊTE  a~ b e^ t
EMILE  e m i l
EMMA  e m a
EMMA  e^ m a
EMMANCHÉ  a~ m a~ s^ e
EMMANCHÉE  a~ m a~ s^ e
EMMENA  a~ m x^ n a
EMMENAIT  a~ m x^ n e^ t
EMMENER  a~ m x^ n e
EMMENER  a~ m x n e
EMMENÉ  a~ m n e
EMMENÉ  a~ m x^ n e
EMMENÉE  a~ m x n e
EMMENÉE  a~ m x^ n e
EMMÈNERAIT  a~ m e^ n x^ r e^
EMMÉNAGEMENT  a~ m e n a z^ m a~
EMMÊLÉES  a~ m e l e
EMMÊLÉS  a~ m e l e
EMPAILLÉ  a~ p a j e
EMPANACHÉ  a~ p a n a s^ e
EMPARÉ  a~ p a r e
EMPARÉS  a~ p a r e
EMPAUMÉ  a~ p o m e
EMPEREUR  a~ p x^ r x^ r
EMPEREURS  a~ p x^ r x^ r
EMPESER  a~ p x^ z e
EMPESTE  a~ p e^ s t q
EMPESÉE  a~ p x^ z e
EMPHASE  a~ f a z
EMPIERRÉES  a~ p j e r e
EMPILE  a~ p i l q
EMPIRE  a~ p i r
EMPIRES  a~ p i r
EMPLACEMENT  a~ p l a s x^ m a~
EMPLETTES  a~ p l e^ t
EMPLI  a~ p l i
EMPLIT  a~ p l i
EMPLOI  a~ p l w a
EMPLOIE  a~ p l w a
EMPLOYA  a~ p l w a j a
EMPLOYAIT  a~ p l w a j e^ t
EMPLOYER  a~ p l w a j e
EMPLOYER  a~ p l w a j e r
EMPLOYEZ  a~ p l w a j e
EMPLOYÂT  a~ p l w a j a
EMPLOYÉ  a~ p l w a j e
EMPLOYÉE  a~ p l w a j e
EMPLOYÉES  a~ p l w a j e
EMPLOYÉS  a~ p l w a j e
EMPOCHA  a~ p o^ s^ a
EMPOIGNANT  a~ p w a n j a~
EMPOIGNANT  a~ p w a n j a~ t
EMPOIGNE  a~ p w a n~ q
EMPOIGNE  a~ p w a n j q
EMPOIGNER  a~ p w a n j e
EMPOIGNER  a~ p w a n j e r
EMPOISONNE  a~ p w a z o^ n
EMPOISONNER  a~ p w a z o^ n e
EMPOISONNÉ  a~ p w a z o^ n e
EMPORTAIT  a~ p o^ r t e^
EMPORTANT  a~ p o^ r t a~ t
EMPORTEMENT  a~ p o^ r t x^ m a~
EMPORTEMENTS  a~ p o^ r t x^ m a~
EMPORTER  a~ p o^ r t e
EMPORTER  a~ p o^ r t e r
EMPORTERAIT  a~ p o^ r t x^ r e^ t
EMPORTERONS  a~ p o^ r t x^ r o~ z
EMPORTEZ  a~ p o^ r t e z
EMPORTÉ  a~ p o^ r t e
EMPORTÉES  a~ p o^ r t e
EMPOURPRAIT  a~ p u r p r e^
EMPREINTE  a~ p r e~ t q
EMPREINTE  a~ p r e~ t
EMPREINTES  a~ p r e~ t
EMPREINTES  a~ p r e~ t q
EMPRESSEMENT  a~ p r e^ s m a~
EMPRESSEMENT  a~ p r e^ s m a~ t
EMPRESSÉ  a~ p r e s e
EMPRESSÉS  a~ p r e s e
EMPRISONNER  a~ p r i z o^ n e
EMPRISONNÉ  a~ p r i z o^ n e
EMPRISONNÉE  a~ p r i z o^ n e
EMPRUNTA  a~ p r x~ t a
EMPRUNTÉ  a~ p r x~ t e
EMPRUNTÉS  a~ p r x~ t e z
EMPÊCHAIENT  a~ p e s^ e^
EMPÊCHE  a~ p e s^
EMPÊCHER  a~ p e s^ e
EMPÊCHER  a~ p e s^ e r
EMPÊCHÉ  a~ p e s^ e
EMPÊCHÉE  a~ p e s^ e
EN  a~
EN  a~ n
ENCADRAIENT  a~ k a d r e^
ENCADRAIT  a~ k a d r e^
ENCADRANT  a~ k a d r a~
ENCADRENT  a~ k a d r q
ENCADRER  a~ k a d r e
ENCADRÉ  a~ k a d r e
ENCADRÉE  a~ k a d r e
ENCAISSE  a~ k e^ s
ENCAISSEMENTS  a~ k e^ s m a~
ENCAISSÉ  a~ k e s e
ENCAISSÉS  a~ k e s e
ENCEINT  a~ s e~
ENCEINTE  a~ s e~ t
ENCHANTAIT  a~ s^ a~ t e^
ENCHANTEMENT  a~ s^ a~ t m a~
ENCHANTERESSE  a~ s^ a~ t r e^ s
ENCHANTERESSE  a~ s^ a~ t x^ r e^ s
ENCHANTERESSES  a~ s^ a~ t x^ r e^ s
ENCHANTEUR  a~ s^ a~ t x^ r
ENCHANTÉ  a~ s^ a~ t e
ENCHANTÉE  a~ s^ a~ t e
ENCHAÎNANT  a~ s^ e n a~
ENCHAÎNÉ  a~ s^ e n e
ENCHAÎNÉS  a~ s^ e n e
ENCOMBRE  a~ k o~ b r
ENCOMBRÉ  a~ k o~ b r e
ENCORE  a~ k o^ r
ENCORE  a~ k o^ r q
ENCOURAGEAIT  a~ k u r a z^ e^
ENCOURAGER  a~ k u r a z^ e
ENCRIER  a~ k r i j e
ENDIMANCHÉE  a~ d i m a~ s^ e
ENDORMI  a~ d o^ r m i
ENDORMIE  a~ d o^ r m i
ENDORMIRENT  a~ d o^ r m i r
ENDORMIS  a~ d o^ r m i
ENDORMIS  a~ d o^ r m i z
ENDROIT  a~ d r w a
ENDROIT-LÀ  a~ d r w a l a
ENDROITS  a~ d r w a
ENDUITES  a~ d h i t
ENDURCI  a~ d y r s i
ENDURCIE  a~ d y r s i
ENDURCISSEMENT  a~ d y r s i s m a~
ENDURER  a~ d y r e
ENDÊVER  a~ d e v e
ENFANCE  a~ f a~ s
ENFANT  a~ f a~
ENFANTILLAGE  a~ f a~ t i j a z^
ENFANTINE  a~ f a~ t i n q
ENFANTINES  a~ f a~ t i n
ENFANTS  a~ f a~
ENFANTS  a~ f a~ z
ENFANTS-TROUVÉS  a~ f a~ t r u v e
ENFER  a~ f e^ r
ENFERMER  a~ f e^ r m e
ENFERMÉ  a~ f e^ r m e
ENFERMÉE  a~ f e^ r m e
ENFIN  a~ f e~
ENFLAMMÉ  a~ f l a m e
ENFLAMMÉE  a~ f l a m e
ENFLAMMÉES  a~ f l a m e
ENFLAMMÉS  a~ f l a m e
ENFLANQUÉ  a~ f l a~ k e
ENFLANQUÉE  a~ f l a~ k e
ENFLAQUÉS  a~ f l a k e
ENFLERONS  a~ f l x^ r o~
ENFONCE  a~ f o~ s
ENFONCER  a~ f o~ s e
ENFONCEZ  a~ f o~ s e
ENFONCÉ  a~ f o~ s e
ENFONCÉE  a~ f o~ s e
ENFONÇA  a~ f o~ s a
ENFOUI  a~ f w i
ENFOUIT  a~ f w i
ENFUMÉ  a~ f y m e
ENFUMÉE  a~ f y m e
ENGAGE  a~ g a z^ q
ENGAGEA  a~ g a z^ a
ENGAGEANT  a~ g a z^ a~
ENGAGER  a~ g a z^ e r
ENGAGER  a~ g a z^ e
ENGAGIONS  a~ g a z^ j o~
ENGAGÉ  a~ g a z^ e
ENGAGÉE  a~ g a z^ e
ENGAINÉE  a~ g e n e
ENGLOUTI  a~ g l u t i
ENGLOUTIR  a~ g l u t i r
ENGOUFFRER  a~ g u f r e
ENGOURDI  a~ g u r d i
ENGOURDIE  a~ g u r d i
ENGOURDIS  a~ g u r d i
ENGRAISSAIENT  a~ g r e^ s e^
ENIVRANTE  a~ n i v r a~ t
ENIVRE  a~ n i v r
ENIVREMENT  a~ n i v r x^ m a~
ENIVRÉE  a~ n i v r e
ENIVRÉS  a~ n i v r e
ENJAMBA  a~ z^ a~ b a
ENJEU  a~ z^ x
ENJOUÉE  a~ z^ w e
ENLACER  a~ l a s e r
ENLACÉES  a~ l a s e
ENLAIDIE  a~ l e d i
ENLEVA  a~ l v a
ENLEVA  a~ l x^ v a
ENLEVAIT  a~ l x^ v e^ t
ENLEVAIT  a~ l x^ v e^
ENLEVER  a~ l x^ v e r
ENLEVER  a~ l x^ v e
ENLEVÉ  a~ l v e
ENLEVÉ  a~ l x^ v e
ENLEVÉE  a~ l x^ v e
ENLEVÉE  a~ l v e
ENLEVÉES  a~ l x^ v e
ENLUMINÉE  a~ l y m i n e
ENLÈVE  a~ l e^ v
ENNEMI  e^ n m i
ENNEMI  e^ n x^ m i
ENNEMIS  e^ n x^ m i
ENNEMIS  e^ n m i
ENNUI  a~ n h i
ENNUIE  a~ n h i
ENNUIS  a~ n h i
ENNUYA  a~ n h i j a
ENNUYÉ  a~ n h i j e
ENNUYÉE  a~ n h i j e
ENQUÊTE  a~ k e^ t
ENRAGEANT  a~ r a z^ a~
ENRAGER  a~ r a z^ e
ENRAGÉ  a~ r a z^ e
ENRAGÉ-LÀ  a~ r a z^ e l a
ENRICHI  a~ r i s^ i
ENRICHIE  a~ r i k i
ENRICHIES  a~ r i s^ i
ENROULÉE  a~ r u l e
ENROUÉE  a~ r u e
ENRÔLÉ  a~ r o l e
ENSANGLANTÈRENT  a~ s a~ g l a~ t e^ r
ENSANGLANTÉ  a~ s a~ g l a~ t e
ENSEIGNA  a~ s e^ n j a
ENSEIGNEMENT  a~ s e^ n~ x^ m a~
ENSEIGNEMENT  a~ s e^ n j m a~
ENSEIGNEMENT  a~ s e^ n j x^ m a~
ENSEIGNEMENTS  a~ s e^ n j x m a~
ENSEIGNÉ  a~ s e n j e
ENSEMBLE  a~ s a~ b l
ENSEMBLE  a~ s a~ b l q
ENSEVELI  a~ s x^ v x^ l i
ENSEVELIR  a~ s x^ v x^ l i r
ENSORCELÉ  a~ s o^ r s x^ l e
ENSUITE  a~ s h i t
ENTACHÉE  a~ t a s^ e
ENTAMA  a~ t a m a
ENTASSÉES  a~ t a s e
ENTEND  a~ t a~
ENTEND  a~ t a~ t
ENTENDAIT  a~ t a~ d e^
ENTENDAIT  a~ t a~ d e^ t
ENTENDANT  a~ t a~ d a~
ENTENDE  a~ t a~ d
ENTENDE  a~ t a~ d q
ENTENDENT  a~ t a~ d q
ENTENDEZ  a~ t a~ d e
ENTENDEZ-VOUS  a~ t a~ d e v u
ENTENDISSENT  a~ t a~ d i s
ENTENDIT  a~ t a~ d i
ENTENDIT  a~ t a~ d i t
ENTENDONS-NOUS  a~ t a~ d o~ n u
ENTENDRE  a~ t a~ d r
ENTENDRE  a~ t a~ d r q
ENTENDRE  a~ t a~ d r x^
ENTENDRONS  a~ t a~ d r o~
ENTENDRONT  a~ t a~ d r o~
ENTENDS  a~ t a~
ENTENDS-TU  a~ t a~ t y
ENTENDU  a~ t a~ d y
ENTENDUE  a~ t a~ d y
ENTENTE  a~ t a~ t
ENTERREMENT  a~ t e^ r m a~
ENTERRER  a~ t e r e
ENTERRÉ  a~ t e r e
ENTERRÉS  a~ t e r e
ENTHOUSIASTES  a~ t u z j a s t
ENTIER  a~ t j e
ENTIÈRE  a~ t j e^ r
ENTIÈREMENT  a~ t j e^ r m a~
ENTIÈREMENT  a~ t j e^ r x^ m a~
ENTIÈRES  a~ t j e^ r
ENTONNE  a~ t o^ n
ENTOURAIENT  a~ t u r e^
ENTOURAIT  a~ t u r e^
ENTOURAIT  a~ t u r e^ t
ENTOURANT  a~ t u r a~
ENTOURE  a~ t u r
ENTOURENT  a~ t u r
ENTOURNURES  a~ t u r n y r
ENTOURÉ  a~ t u r e
ENTOURÉE  a~ t u r e
ENTOURÉS  a~ t u r e
ENTR'OUVERTE  a~ t r u v e^ r t
ENTR'OUVRIT  a~ t r u v r i t
ENTR'OUVRIT  a~ t r u v r i
ENTRA  a~ t r a
ENTRACTE  a~ t r a k t
ENTRAIENT  a~ t r e^
ENTRAILLES  a~ t r a j
ENTRAIT  a~ t r e^ t
ENTRAIT  a~ t r e^
ENTRANT  a~ t r a~
ENTRAVER  a~ t r a v e
ENTRAÎNA  a~ t r e n a
ENTRAÎNANT  a~ t r e^ n a~ t
ENTRAÎNE  a~ t r e n
ENTRAÎNEMENT  a~ t r e^ n m a~
ENTRAÎNER  a~ t r e n e
ENTRAÎNEREZ  a~ t r e n r e
ENTRAÎNÉE  a~ t r e n e
ENTRE  a~ t r q
ENTRE  a~ t r
ENTRE  a~ t r x^
ENTREBÂILLA  a~ t r x^ b a j a
ENTREBÂILLAIT  a~ t r x^ b a j e^
ENTREBÂILLÉE  a~ t r x^ b a j e
ENTREFAITES  a~ t r x^ f e^ t
ENTRELACÉS  a~ t r x^ l a s e
ENTREMISE  a~ t r x^ m i z q
ENTREMÊLÉ  a~ t r x^ m e l e
ENTRENT  a~ t r q
ENTREPRENANT  a~ t r x^ p r x^ n a~
ENTREPRENDRE  a~ t r x^ p r a~ d r
ENTREPRISE  a~ t r x^ p r i z
ENTREPRISE  a~ t r x^ p r i z q
ENTREPRISE  a~ t r q p r i z q
ENTREPRISES  a~ t r x^ p r i z
ENTREPRIT  a~ t r x^ p r i
ENTRER  a~ t r e r
ENTRER  a~ t r e
ENTRERIEZ  a~ t r x^ r j e
ENTRERIONS  a~ t r x^ r j o~ z
ENTRETENAIT  a~ t r x^ t x^ n e^ t
ENTRETENIR  a~ t r x^ t x^ n i r
ENTRETENU  a~ t r x^ t x^ n y
ENTRETIEN  a~ t r x^ t j e~
ENTRETIENS  a~ t r x^ t j e~
ENTRETINRENT  a~ t r x^ t e~ r
ENTREVOIR  a~ t r x^ v w a r
ENTREVOYAIT  a~ t r x^ v w a j e^
ENTREVU  a~ t r x^ v y
ENTREVUE  a~ t r x^ v y
ENTREZ  a~ t r e
ENTRONS  a~ t r o~
ENTROUVERT  a~ t r u v e^ r
ENTROUVERTE  a~ t r u v e^ r t
ENTROUVERTES  a~ t r u v e^ r t
ENTRÈRENT  a~ t r e^ r
ENTRÈRENT  a~ t r e^ r t
ENTRÉ  a~ t r e
ENTRÉE  a~ t r e
ENTRÉE-LÀ  a~ t r e l a
ENTRÉES  a~ t r e
ENTRÉS  a~ t r e
ENTÊTEMENT  a~ t e^ t m a~
ENTÊTÉ  a~ t e t e
ENVAHIE  a~ v a i e
ENVAHISSAIT  a~ v a i s e^
ENVAHISSEMENT  a~ v a i s m a~
ENVELOPPANT  a~ v x^ l o^ p a~
ENVELOPPE  a~ v l o^ p
ENVELOPPES  a~ v x^ l o p
ENVELOPPEZ-VOUS  a~ v x^ l o^ p e v u
ENVELOPPÉ  a~ v l o^ p e
ENVELOPPÉ  a~ v x^ l o^ p e
ENVELOPPÉE  a~ v x^ l o^ p e
ENVELOPPÉE  a~ v l o^ p e
ENVERRA  a~ v e r a
ENVERRAI  a~ v e r e
ENVERS  a~ v e^ r
ENVIABLE  a~ v j a b l q
ENVIABLE  a~ v j a b l
ENVIAIT  a~ v j e^
ENVIE  a~ v i
ENVIER  a~ v j e
ENVIES  a~ v i
ENVIEUX  a~ v j x z
ENVIEUX  a~ v j x
ENVIRON  a~ v i r o~
ENVIRONNAIENT  a~ v i r o^ n e^
ENVIRONNÉS  a~ v i r o^ n e
ENVIRONS  a~ v i r o~
ENVISAGE  a~ v i z a z^
ENVISAGER  a~ v i z a z^ e
ENVIÉ  a~ v j e
ENVIÉE  a~ v j e
ENVIÉES  a~ v j e
ENVOIE  a~ v w a
ENVOIE-MOI  a~ v w a m w a
ENVOIENT  a~ v w a t
ENVOYA  a~ v w a j a
ENVOYAIT  a~ v w a j e^
ENVOYAIT  a~ v w a j e^ t
ENVOYER  a~ v w a j e
ENVOYER  a~ v w a j e r
ENVOYEZ  a~ v w a j e
ENVOYÉ  a~ v w a j e
ENVOYÉE  a~ v w a j e
ERGOTS  e^ r g o
ERREUR  e^ r x r
ERREUR  e^ r x^ r
ERREURS  e^ r x^ r
ES  e^
ES  e^ z
ES-LETTRES  e^ s l e^ t r
ES-LETTRES  e^ s l e^ t r q
ES-SCIENCES  e s s j a~ s
ES-TU  e^ t y
ESBIGNIONS  e^ s b i n~ j o~
ESCABEAU  e^ s k a b o
ESCALADE  e^ s k a l a d
ESCALIER  e^ s k a l j e
ESCALIERS  e^ s k a l j e
ESCARPE  e^ s k a r p q
ESCARPERAIS  e^ s k a r p x^ r e^
ESCARPES  e^ s k a r p q
ESCARPOLETTE  e^ s k a r p o^ l e^ t
ESCARPÉ  e^ s k a r p e
ESCARPÉE  e^ s k a r p e
ESCARPÉES  e^ s k a r p e
ESCLANDRE  e^ s k l a~ d r q
ESCLAVE  e^ s k l a v q
ESCLAVE  e^ s k l a v
ESCLAVES  e^ s k l a v
ESCLAVES  e^ s k l a v q
ESCLAVES  e^ s k l a v z
ESCOMPTÉ  e^ s k o~ t e
ESCROCS  e^ s k r o
ESPACE  e^ s p a s
ESPACÉS  e^ s p a s e
ESPAGNE  e^ s p a n~ q
ESPAGNE  e^ s p a n j
ESPAGNOLE  e^ s p a n j o^ l
ESPAGNOLS  e^ s p a n j o^ l q
ESPALIER  e^ s p a l j e
ESPIONNAIS  e^ s p j o^ n e^
ESPIONNE  e^ s p j o^ n q
ESPIONNER  e^ s p j o^ n e r
ESPIONNER  e^ s p j o^ n e
ESPIÈGLE  e^ s p j e^ g l q
ESPIÈGLE  e^ s p j e^ g l
ESPOIR  e^ s p w a r
ESPRIT  e^ s p r i
ESPRITS  e^ s p r i
ESPÈCE  e^ s p e^ s
ESPÈCES  e^ s p e^ s
ESPÈRE  e^ s p e^ r
ESPÈRES  e^ s p e^ r
ESPÉRAIT  e^ s p e r e^
ESPÉRAIT  e^ s p e r e^ t
ESPÉRANCE  e^ s p e r a~ s
ESPÉRANCES  e^ s p e r a~ s z
ESPÉRANCES  e^ s p e r a~ s
ESPÉRANT  e^ s p e r a~
ESPÉRANT  e^ s p e r a~ t
ESPÉRER  e^ s p e r e
ESPÉRER  e^ s p e r e r
ESPÉREZ  e^ s p e r e
ESPÉRIEZ  e^ s p e r j e
ESPÉRONS  e^ s p e r o~
ESQUISSANT  e^ s k i s a~ t
ESSAIE  e s e^
ESSAIERONS  e s e r o~
ESSAIES  e s e^
ESSAIS  e s e^
ESSAYA  e s e^ j a
ESSAYAIT  e s e^ j e^ t
ESSAYAIT  e s e^ j e^
ESSAYE  e s e^ j
ESSAYER  e s e j e
ESSAYERONS  e s e^ j x^ r o~
ESSAYONS  e s e^ j o~
ESSAYÉ  e s e j e
ESSENCE  e s a~ s
ESSENTIELLEMENT  e s a~ s j e^ l m a~
ESSOPHAS  e^ s o^ f a
ESSOUFFLÉE  e s u f l e
ESSOUFFLÉS  e s u f l e
ESSUIE  e s h i
ESSUYA  e s h i j a
ESSUYAIT  e s h i j e^
ESSUYANT  e s h i j a~
ESSUYER  e s h i j e r
EST  e^
EST  e^ s t
EST  e^ t
EST-CE  e^ s
EST-CE  e^ s q
EST-CE  e^ s x^
EST-ELLE  e^ t e^ l
EST-ELLE  e^ t e^ l q
EST-IL  e^ t i l
EST-ON  e^ t o~
ESTAMINET  e^ s t a m i n e^
ESTIME  e^ s t i m
ESTIMÉ  e^ s t i m e
ESTOMAC  e^ s t o^ m a
ESTRADE  e^ s t r a d q
ESTROPIER  e^ s t r o^ p j e
ESTROPIÉ  e^ s t r o^ p j e
ET  e^
ET  e
ET  e^ t
ETCETERA  e^ t s e t e r a
ETCETERA  e t s e t e r a
ETCÉTÉRA  e^ t s e t e r a
EU  y
EUE  y
EUES  y
EUGÈNE  x z^ e^ n
EUH  x
EUH  x^
EUPHONIE  x f o^ n i
EURENT  y r
EUROPÉEN  x r o^ p e e~
EUROPÉENNE  x r o^ p e e^ n
EUROPÉENNISÉS  x r o^ p e e n i z e
EUROPÉENS  x r o^ p e e~
EUS  y
EUSSE  y s
EUSSENT  y s
EUSSENT  y s t
EUT  y
EUT  y t
EUX  x
EUX  x z
EUX-MÊMES  x m e^ m q
EX-VOLEURS  e^ k s v o^ l x^ r
EX-VOTO  e^ k s v o^ t o
EXACT  e^ g z a k t
EXACTE  e^ g z a k t
EXACTEMENT  e^ g z a k t x^ m a~
EXACTES  e^ g z a k t
EXAGÈRE  e^ g z a z^ e^ r
EXAGÈRES  e^ g z a z^ e^ r
EXAGÉRA-T-IL  e^ g z a z^ e r a t i l
EXAGÉRANT  e^ g z a z^ e r a~ t
EXAGÉRATION  e^ g z a z^ e r a s j o~
EXAGÉRÉ  e^ g z a z^ e r e
EXAGÉRÉE  e^ g z a z^ e r e
EXAGÉRÉES  e^ g z a z^ e r e
EXAGÉRÉS  e^ g z a z^ e r e
EXALTANT  e^ g z a l t a~
EXALTATION  e^ g z a l t a s j o~
EXALTER  e^ g z a l t e
EXALTÉ  e^ g z a l t e
EXAMEN  e^ g z a m e~
EXAMENS  e^ g z a m e~
EXAMINA  e^ g z a m i n a
EXAMINAIT  e^ g z a m i n e^ t
EXAMINAIT  e^ g z a m i n e^
EXAMINANT  e^ g z a m i n a~
EXAMINATEURS  e^ g z a m i n a t x^ r
EXAMINER  e^ g z a m i n e
EXAMINÉ  e^ g z a m i n e
EXASPÉRA  e^ g z a s p e r a
EXASPÉRATION  e^ g z a s p e r a s j o~
EXASPÉRÉ  e^ g z a s p e r e
EXASPÉRÉE  e^ g z a s p e r e
EXAUCE  e^ g z o s
EXCELLAIT  e^ k s e l e^
EXCELLENCE  e^ k s e l a~ s
EXCELLENCE  e^ k s e^ l a~ s
EXCELLENT  e^ k s e l a~
EXCELLENT  e^ k s e^ l a~
EXCELLENT  e^ k s e l a~ t
EXCELLENTE  e^ k s e l a~ t
EXCELLENTE  e^ k s e l a~ t q
EXCELLENTES  e^ k s e l a~ t
EXCELLENTS  e^ k s e l a~
EXCELLENTS  e^ k s e l a~ z
EXCENTRICITÉS  e^ k s a~ t r i s i t e
EXCEPTION  e^ k s e^ p s j o~
EXCEPTÉ  e^ k s e^ p t e
EXCESSIF  e^ k s e s i f
EXCESSIVE  e^ k s e s i v
EXCESSIVEMENT  e^ k s e s i v m a~
EXCESSIVES  e^ k s e s i v q
EXCITAIT  e^ k s i t e^
EXCITATION  e^ k s i t a s j o~
EXCITATIONS  e^ k s i t a s j o~
EXCITE  e^ k s i t
EXCITER  e^ k s i t e
EXCITÉ  e^ k s i t e
EXCITÉE  e^ k s i t e
EXCITÉES  e^ k s i t e
EXCITÉS  e^ k s i t e
EXCLAMATION  e^ k s k l a m a s j o~
EXCLAMATIONS  e^ k s k l a m a s j o~
EXCLAMÉ  e^ k s k l a m e
EXCLUSIVEMENT  e^ k s k l y z i v m a~
EXCURSION  e^ k s k y r s j o~
EXCURSIONS  e^ k s k y r s j o~
EXCUSABLE  e^ k s k y z a b l q
EXCUSAIT  e^ k s k y z e^
EXCUSE  e^ k s k y z
EXCUSE  e^ k s k y z q
EXCUSER  e^ k s k y z e
EXCUSERA  e^ k s k y z x^ r a
EXCUSES  e^ k s k y z q
EXCUSEZ  e^ k s k y z e
EXCUSEZ-MOI  e^ k s k y z e m w a
EXCÈS  e^ k s e^
EXCÈS  e^ k s e^ z
EXEMPLAIRE  e^ g z a~ p l e^ r
EXEMPLE  e^ g z a~ p l
EXEMPLE  e^ g z a~ p l q
EXEMPLES  e^ g z a~ p l q
EXERCE  e^ g z e^ r s q
EXERCENT  e^ g z e^ r s q
EXERCER  e^ g z e^ r s e
EXERCEZ  e^ g z e^ r s e
EXERGUES  e^ g z e^ r g q
EXHALAISON  e^ g z a l e^ z o~
EXHALE  e^ g z a l
EXHIBITIONS  e^ g z i b i s j o~
EXHORTAIT  e^ g z o^ r t e^ t
EXHORTATIONS  e^ g z o^ r t a s j o~
EXIGEANT  e^ g z i z^ a~
EXIGENCES  e^ g z i z^ a~ s
EXIGER  e^ g z i z^ e
EXISTAIENT  e^ g z i s t e^ t
EXISTAIT  e^ g z i s t e^
EXISTE  e^ g z i s t
EXISTE  e^ g z i s t q
EXISTENCE  e^ g z i s t a~ s
EXISTENCES  e^ g z i s t a~ s
EXISTENT  e^ g z i s t q
EXISTER  e^ g z i s t e
EXISTÉ  e^ g z i s t e
EXORBITANT  e^ g z o^ r b i t a~
EXORBITANTE  e^ g z o^ r b i t a~ t
EXORBITANTES  e^ g z o^ r b i t a~ t
EXOTIQUE  e^ g z o^ t i k
EXOTIQUES  e^ g z o^ t i k
EXPANSION  e^ k s p a~ s j o~
EXPANSIONS  e^ k s p a~ s j o~
EXPANSIVE  e^ k s p a~ s i v
EXPIATION  e^ k s p j a s j o~
EXPIATRICE  e^ k s p j a t r i s
EXPIER  e^ k s p j e
EXPIERA  e^ k s p i r a
EXPIRAIT  e^ k s p i r e^
EXPIRANTE  e^ k s p i r a~ t
EXPIRANTES  e^ k s p i r a~ t
EXPIÉ  e^ k s p j e
EXPIÉE  e^ k s p j e
EXPLICATION  e^ k s p l i k a s j o~
EXPLICATIONS  e^ k s p l i k a s j o~ z
EXPLIQUA  e^ k s p l i k a
EXPLIQUAIT  e^ k s p l i k e^
EXPLIQUAIT-IL  e^ k s p l i k e^ t i l q
EXPLIQUE  e^ k s p l i k
EXPLIQUER  e^ k s p l i k e
EXPLIQUER  e^ k s p l i k e r
EXPLIQUERAI  e^ k s p l i k x^ r e
EXPLIQUEREZ-VOUS  e^ k s p l i k x^ r e v u z
EXPLIQUERONS  e^ k s p l i k x^ r o~
EXPLIQUEZ-VOUS  e^ k s p l i k e v u
EXPLIQUÉ  e^ k s p l i k e
EXPLIQUÉE  e^ k s p l i k e
EXPLOITATION  e^ k s p l w a t a s j o~
EXPLOITATIONS  e^ k s p l w a t a s j o~
EXPLOITER  e^ k s p l w a t e
EXPLORER  e^ k s p l o^ r e
